chinese,english,targetWords,audioSentenceFilename,audioEnglishFilename,tags,difficulty
我看见一样。,I see the same.,一样,audio/sentences/我看见一样。.mp3,audio/sentence_meanings/I-see-the-same.mp3,LMS;clip-pack,2
我看见一次。,I see an one time.,一次,audio/sentences/我看见一次。.mp3,audio/sentence_meanings/I-see-an-one-time.mp3,LMS;clip-pack,2
我看见一生。,I see an one's whole life.,一生,audio/sentences/我看见一生。.mp3,audio/sentence_meanings/I-see-an-one's-whole-life.mp3,LMS;clip-pack,2
我看见一边。,I see an one side.,一边,audio/sentences/我看见一边。.mp3,audio/sentence_meanings/I-see-an-one-side.mp3,LMS;clip-pack,2
我看见一点。,I see a little.,一点,audio/sentences/我看见一点。.mp3,audio/sentence_meanings/I-see-a-little.mp3,LMS;clip-pack,2
我看见上天。,I see a heaven.,上天,audio/sentences/我看见上天。.mp3,audio/sentence_meanings/I-see-a-heaven.mp3,LMS;clip-pack,2
我看见上山。,I see to go up the mountain.,上山,audio/sentences/我看见上山。.mp3,audio/sentence_meanings/I-see-to-go-up-the-mountain.mp3,LMS;clip-pack,2
我看见上课。,I see to attend class.,上课,audio/sentences/我看见上课。.mp3,audio/sentence_meanings/I-see-to-attend-class.mp3,LMS;clip-pack,2
我看见上面。,I see an above.,上面,audio/sentences/我看见上面。.mp3,audio/sentence_meanings/I-see-an-above.mp3,LMS;clip-pack,2
我看见下来。,I see to come down.,下来,audio/sentences/我看见下来。.mp3,audio/sentence_meanings/I-see-to-come-down.mp3,LMS;clip-pack,2
我看见不想。,I see to not want to.,不想,audio/sentences/我看见不想。.mp3,audio/sentence_meanings/I-see-to-not-want-to.mp3,LMS;clip-pack,2
我看见丑。,I see an ugly.,丑,audio/sentences/我看见丑。.mp3,audio/sentence_meanings/I-see-an-ugly.mp3,LMS;clip-pack,2
我看见世界。,I see a world.,世界,audio/sentences/我看见世界。.mp3,audio/sentence_meanings/I-see-a-world.mp3,LMS;clip-pack,2
我看见中。,I see a middle.,中,audio/sentences/我看见中。.mp3,audio/sentence_meanings/I-see-a-middle.mp3,LMS;clip-pack,2
我看见事。,I see a matter.,事,audio/sentences/我看见事。.mp3,audio/sentence_meanings/I-see-a-matter.mp3,LMS;clip-pack,2
